artista,nombre_cancion,genres
the lovin' spoonful,did you ever have to make up your mind,"60s, pop, classic rock, rock, organ"
frank turner,make america great again,"folk rock, 2010s, 2018"
towkio,cntrl,Unknown
frank turner,1933,"punk, folk rock, folk punk, 2010s, number"
kidd keo,okay,Unknown
red sun rising,el lazo,Unknown
weathers,carry us home,alternative
liza anne,paranoia,"rock n roll, conan"
rémy,memento mori,Unknown
inkonnu,inko,Unknown
kiss daniel,no do,Unknown
brent cobb,mornin's gonna come,"funky, blues rock, Southern Rock, country rock"
crazy ex-girlfriend cast,nothing is ever anyone’s fault,"pop, adult contemporary, Soundtracks, comedy, jazz pop"
4keus,la rue la vraie,Unknown
towkio,disco,Unknown
rémy,dans le binks,Unknown
red sun rising,veins,Unknown
24hrs,outro,Unknown
liz phair,divorce song (girly-sound version),Unknown
crazy ex-girlfriend cast,without love you can save the world,Unknown
mat kearney,better than i used to be - acoustic,Unknown
twin shadow,little woman,2018 single
crazy ex-girlfriend cast,my sperm is healthy,Unknown
yung bleu,boss ya life up,Unknown
k camp,rare (intro),Unknown
yung bleu,slums,Unknown
the buttertones,you and your knife,Unknown
owl city,not all heroes wear capes,"electronic, indie, alternative, songwriter, american"
red sun rising,evil like you,Unknown
red sun rising,stealing life,Unknown
liza anne,turn for the worse,Unknown
red sun rising,lonely girl,Unknown
blue stahli,enemy (gydra remix) - instrumental,Unknown
rhys lewis,bloodstains,britain
jcy,oceans,Unknown
lil gnar,pop the clip,Unknown
yung bleu,uzi vert,Unknown
the wild feathers,big sky,Unknown
espinoza paz,fue,Unknown
ady suleiman,serious,fip
post animal,ralphie,Unknown
kovic,running underwater,Unknown
capital t.,yoko ono (feat. granit derguti),Unknown
aleman,kilo culo,Unknown
towkio,2 da moon,Unknown
glokknine,crayola,Unknown
the clarks,madly in love at the end of the world,Unknown
the lovin' spoonful,younger girl,"60s, pop, oldies, Mellow, classic rock"
the lovin' spoonful,six o'clock,"60s, classic rock, rock, oldies, sunshine pop"
boyce avenue,on my mind (feat. jacob whitesides),Unknown
liza anne,kid gloves,Unknown
diamante,had enough,"heavy metal, rock, punk, female vocalists, hard rock"
biig piig,perdida,"chillout, female vocalists, rnb, Neo Soul, Neo-Soul"
crazy ex-girlfriend cast,buttload of cats,Unknown
zachary knowles,no place like hope,Unknown
ady suleiman,i remember,fip
towkio,hate to love,Unknown
crazy ex-girlfriend cast,this session is going to be different,"pop, adult contemporary, Soundtracks, comedy, jazz pop"
yung bleu,wanna fuck,Unknown
yung bleu,never going back,Unknown
ady suleiman,my love - interlude,Unknown
liza anne,get by,Unknown
arijit singh,rishton ke saare manzar,Unknown
arijit singh,manzar lounge,Unknown
the milk carton kids,one more for the road,Unknown
towkio,swim,Unknown
lily moore,17,Unknown
crazy ex-girlfriend cast,fit hot guys have problems too,Unknown
neko case,hell-on,"Alt-country, folk, singer-songwriter, gothic country, banned"
kaydy cain,no dreams,Unknown
4keus,on dit quoi ?,Unknown
boyce avenue,starving (feat. megan davies),Unknown
yung bleu,trappin' a sport,Unknown
espinoza paz,abrazo de oso,Unknown
jamie ray,16 (feat. nba youngboy),Unknown
rockie fresh,cbs,Unknown
kaydy cain,mi heroína,Unknown
sonny alven,backseat lovin',Unknown
lil gnar,ride wit da fye,hip hop trap
thompson square,let's do something stupid,Unknown
trevor hall,if i was a warrior,Unknown
kaydy cain,mas que tu,Unknown
towkio,loose,"dance, chicago, indie hip-hop, drop"
legado 7,la perra de mazatlan (en vivo),Unknown
kiss daniel,4dayz,Unknown
josh ward,all about lovin',Unknown
liza anne,closest to me,"fav, 2017"
prep,don't bring me down,Unknown
speedy ortiz,lean in when i suffer,Unknown
lil gnar,codeine lemonade,Unknown
biig piig,flirt,Unknown
legado 7,los dos generales (en vivo),Unknown
pat barrett,build my life,Unknown
rita coolidge,walking on water,Unknown
espinoza paz,que se me pasa,Unknown
gin wigmore,girl gang,"indie rock, pop rock, blues, handclaps"
mo3,and i,Unknown
espinoza paz,calles de tierra (en vivo),Unknown
legado 7,verde verde (en vivo),Unknown
24hrs,story,Unknown
espinoza paz,lo que buscaba en ti,Unknown
agnes obel,poem about death,"danish, 2018 single"
hooss,darwa,Unknown
liz phair,bomb (girly-sound version),Unknown
legado 7,el aguacate (en vivo),Unknown
rémy,j'ai vu,Unknown
rémy,pas besoin,Unknown
chicago,life is what it is,"jazz fusion, eclectonia"
ghost town,modern tragedy,Unknown
gerardo ortiz,quien se anima,Unknown
next town down,man on the loose,Unknown
the lovin' spoonful,nashville cats,"60s, classic rock, oldies, 1966, country"
fredo,never,Unknown
espinoza paz,la mushasha shula,Unknown
ms banks,come thru,Unknown
legado 7,el sapo (en vivo),Unknown
red sun rising,fascination,Unknown
red sun rising,left for dead,Unknown
legado 7,el viaje (en vivo),Unknown
the lovin' spoonful,summer in the city,"60s, classic rock, oldies, rock, summer"
lil gnar,samurai shit,Unknown
yung bleu,no wedding ring,Unknown
lily kershaw,all of the love in the world,Unknown
liza anne,small talks,Unknown
yung bleu,know who u are,Unknown
lil gnar,kick my drip,Unknown
smooky margielaa,how we do,Unknown
lotus eater,branded,Unknown
liza anne,socks,Unknown
the buttertones,baby c4,Unknown
annmarie,loyalty,Unknown
noah carter,numbers,Unknown
mo3,numbers (feat. moneybagg yo),Unknown
hooss,le bon soir,Unknown
annmarie,sleep on me,Unknown
amenazzy,quiero llevarte,Unknown
ry cooder,the prodigal son,fip
anders,take it back,Unknown
annmarie,ecstasy,Unknown
annmarie,one mo time,Unknown
4keus,meeting,Unknown
gaz coombes,walk the walk,"fip, 2018, 2018 single"
the trews,coming home,Unknown
yung bleu,bleu vandross speaks,Unknown
jeremy loops,let it burn,Unknown
lil gnar,sticky rice,Unknown
aisha badru,fossil fuels,Unknown
ryan kinder,leap of faith,"modern country, hairy chest, hunks, nice fur"
glokknine,armed & dangerous,Unknown
john maus,episode,Unknown
rémy,ne me quitte pas,Unknown
r.lum.r,learn - altered,Unknown
diamante,sleepwalking,Unknown
glokknine,az - za,Unknown
glokknine,d to the s (feat. poody),Unknown
weathers,the night is calling,"american, 2018 single"
fredo,star,Unknown
kina,"please, stay with me","Lo-Fi, instrumental hip-hop"
jamie ray,how it go (feat. lil baby),Unknown
espinoza paz,chula,Unknown
trevor hall,jupiter's call,Unknown
iceage,pain killer,"post-punk, art punk, art rock, punk blues"
culture abuse,calm e,not grunge
pegboard nerds,just dance,"dubstep, EDM, bass music, Brostep, monstercat"
kid cudi,day 'n' nite,"Hip-Hop, hip hop, rap, kid cudi, chill"
jeremy loops,gold,"folk, south africa"
4keus,je pense,Unknown
riff raff,supreme shopping (feat. poodeezy & mack won),Unknown
24hrs,beautiful,Unknown
bryan j,honestly,Unknown
tors,wilder days,Unknown
willie nelson,me and you,Unknown
xavier rudd,walk away,soft rock
edwin raphael,thrills sought after,Unknown
zachary knowles,love the rain,Unknown
alfie templeman,yellow flowers,"indie, alternative, alternative rock, indie pop, indie rock"
hooss,la provence,Unknown
pete townshend,there’s a fortune in those hills,Unknown
dead lakes,the devil has blue eyes,Unknown
legado 7,el chino,Unknown
legado 7,el de los ojos tumbados,Unknown
legado 7,la papeleria,Unknown
yung bleu,ice on my baby,Unknown
legado 7,el 50,Unknown
legado 7,un chamaco sin futuro,Unknown
legado 7,pancho conos,Unknown
jeremy loops,freak,"pop, egofm"
inkonnu,tab3ini v2,Unknown
august 08,funeral,Unknown
24hrs,back in time,Unknown
fools garden,embrace,Unknown
og 3three,lovin' you,Unknown
the proclaimers,make my heart fly,"shenanigans, acoustic, love songs, rock, 80s"
inkonnu,kib9aw fia (feat. 7liwa),Unknown
charles aznavour,toi et moi,"chanson, french, jazz, romantic, oldies"
crazy ex-girlfriend cast,face your fears (reprise),Unknown
anders,why,Unknown
4keus,extinction des feux,Unknown
the isley brothers,sensitive lover (single version),Unknown
sammy arriaga,break up a band,Unknown
